Product Name,Total_Profit
Cubify CubeX 3D Printer Double Head Print,-8879.9704
Lexmark MX611dhe Monochrome Laser Printer,-4589.973
Cubify CubeX 3D Printer Triple Head Print,-3839.9904
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,-2876.1156
Bush Advantage Collection Racetrack Conference Table,-1934.3976
GBC DocuBind P400 Electric Binding System,-1878.1662000000003
Cisco TelePresence System EX90 Videoconferencing Unit,-1811.0784
Martin Yale Chadless Opener Electric Letter Opener,-1299.1836
Balt Solid Wood Round Tables,-1201.0581
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,-1148.4375
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",-1147.4
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,-1057.23
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,-989.0496
O'Sullivan 4-Shelf Bookcase in Odessa Pine,-975.0988
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,-964.194
Zebra GK420t Direct Thermal/Thermal Transfer Printer,-938.28
3.6 Cubic Foot Counter Height Office Refrigerator,-872.0751999999999
"Bevis Oval Conference Table, Walnut",-856.0144
Tennsco Single-Tier Lockers,-825.7479999999999
BPI Conference Tables,-795.9725
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,-785.7620000000001
O'Sullivan Plantations 2-Door Library in Landvery Oak,-767.7436
O'Sullivan Living Dimensions 5-Shelf Bookcases,-755.7516
Hon 94000 Series Round Tables,-681.2139999999999
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-669.5448000000001
"SAFCO Commercial Wire Shelving, Black",-635.444
Bestar Classic Bookcase,-612.9386999999999
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",-611.5877999999999
Hon Racetrack Conference Tables,-598.5228
Bevis Rectangular Conference Tables,-586.8396
Bretford CR4500 Series Slim Rectangular Table,-532.7613
Tenex Antistatic Computer Chair Mats,-530.038
"Tenex Chairmat w/ Average Lip, 45"" x 53""",-529.76
"Bevis Round Conference Table Top, X-Base",-519.941
Lexmark MarkNet N8150 Wireless Print Server,-506.457
"Global Wood Trimmed Manager's Task Chair, Khaki",-503.1194
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",-491.175
KI Conference Tables,-479.2164
"Global High-Back Leather Tilter, Burgundy",-474.7414
SAFCO Boltless Steel Shelving,-470.4696
"3D Systems Cube Printer, 2nd Generation, White",-467.9964
GBC ProClick 150 Presentation Binding System,-461.33079999999995
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,-460.666
